Carrera,Grupo,Clave,Materia,CRN,Profesor,Dia,Hora inicio,Hora Fin,Aula,Modalidad
Abogado,3B,REC01,RECREACION Y APROVECHAMIENTO,,,MIERCOLES,14,16,AULA-RECREACION-5,
Abogado,3B,IC863,INTERPRETACION Y ARGUMENTACION JURIDICA,151115,QUIJAS RAMIREZ SANDRA JANETH,MIERCOLES,16,18,A1,HIBRIDA
Abogado,3B,IC873,DERECHO MERCANTIL I,150347,GUZMAN ARRAÑAGA KARLA CRISTINA,MIERCOLES,18,19,EL18,HIBRIDA
Abogado,3B,IC887,DERECHO INDIVIDUAL DEL TRABAJO,212858,IBARRA FLORES MIGUEL ANGEL,JUEVES,14,16,EL10,
Abogado,3B,IC873,DERECHO MERCANTIL I,150347,GUZMAN ARRAÑAGA KARLA CRISTINA,VIERNES,8,10,C5,HIBRIDA
Abogado,3B,IC886,DERECHO PENAL I,150367,GUTIERREZ HERNANDEZ HUMBERTO,VIERNES,10,12,D7,HIBRIDA
Abogado,3B,REC01,RECREACION Y APROVECHAMIENTO,,,VIERNES,12,14,AULA-RECREACION-10,
Abogado,3B,IC891,DERECHO ADMINISTRATIVO,158061,CORTES JOSE GILBERTO,VIERNES,14,16,D11,
Abogado,3B,IC886,DERECHO PENAL I,150367,GUTIERREZ HERNANDEZ HUMBERTO,VIERNES,18,20,EL88,HIBRIDA
Abogado,3B,IC863,INTERPRETACION Y ARGUMENTACION JURIDICA,151115,QUIJAS RAMIREZ SANDRA JANETH,SABADO,17,18,EL91,HIBRIDA
Abogado,3B,IC891,DERECHO ADMINISTRATIVO,158061,CORTES JOSE GILBERTO,SABADO,18,19,EL76,
Abogado,3B,IC884,DERECHO CONSTITUCIONAL I,150207,GUZMAN ARRAÑAGA KARLA CRISTINA,SABADO,19,20,EL69,HIBRIDA
Abogado,3B,IC887,DERECHO INDIVIDUAL DEL TRABAJO,212858,IBARRA FLORES MIGUEL ANGEL,SABADO,20,21,EL11,
Abogado,4A,IC885,DERECHO CONSTITUCIONAL II,158436,CORTES JOSE GILBERTO,LUNES,8,10,B12,HIBRIDA
Abogado,4A,REC01,RECREACION Y APROVECHAMIENTO,,,LUNES,10,12,AULA-RECREACION-4,
Abogado,4A,IC858,FILOSOFIA DEL DERECHO,158724,CORTES JOSE GILBERTO,LUNES,14,16,B13,HIBRIDA
Abogado,4A,IC895,DERECHO COLECTIVO DEL TRABAJO,158434,BUENROSTRO ROBLES PEDRO,LUNES,16,18,A16,HIBRIDA
Abogado,4A,IC895,DERECHO COLECTIVO DEL TRABAJO,158434,BUENROSTRO ROBLES PEDRO,LUNES,18,19,EL86,HIBRIDA
Abogado,4A,IC882,DERECHO CIVIL III,158432,MARTINEZ CARRILLO RANULFO,MARTES,8,10,C5,HIBRIDA
Abogado,4A,REC01,RECREACION Y APROVECHAMIENTO,,,MARTES,10,12,AULA-RECREACION-4,
Abogado,4A,IC901,DERECHO PENAL II,158440,GONZALEZ BORBOA RAUL,MARTES,12,14,B4,HIBRIDA
Abogado,4A,IC909,ESTUDIO DE CASO DE INSTITUCIONES JURIDICAS IV,158719,GUZMAN ARRAÑAGA KARLA CRISTINA,MARTES,14,16,A2,TOTAL PRESENCIAL
Abogado,4A,IC885,DERECHO CONSTITUCIONAL II,158436,CORTES JOSE GILBERTO,MARTES,18,19,EL55,HIBRIDA
Abogado,4A,IC906,TEORIA DEL ACTO ADMINISTRATIVO,151192,VENEGAS CAMARENA ALEJANDRA,MIERCOLES,18,20,EL22,
Abogado,4A,IC867,LENGUA EXTRANJERA ESPECIALIZADA I,158737,GONZALEZ MARTINEZ JORGE,VIERNES,8,10,B3,TOTAL PRESENCIAL
Abogado,4A,IC874,DERECHO MERCANTIL II,158438,AHUMADA GONZALEZ APOLONIO,VIERNES,10,12,B12,HIBRIDA
Abogado,4A,IC906,TEORIA DEL ACTO ADMINISTRATIVO,151192,VENEGAS CAMARENA ALEJANDRA,VIERNES,12,14,B3,
Abogado,4A,IC874,DERECHO MERCANTIL II,158438,AHUMADA GONZALEZ APOLONIO,VIERNES,18,19,EL87,HIBRIDA
Abogado,4A,IC858,FILOSOFIA DEL DERECHO,158724,CORTES JOSE GILBERTO,SABADO,16,17,EL16,HIBRIDA
Abogado,4A,IC882,DERECHO CIVIL III,158432,MARTINEZ CARRILLO RANULFO,SABADO,18,19,EL88,HIBRIDA
Abogado,4A,IC901,DERECHO PENAL II,158440,GONZALEZ BORBOA RAUL,SABADO,19,21,EL82,HIBRIDA
